output.Student_ID,output.Name,output.Email,output.Phone,output.Course,output.Fee_Paid,output.City,output.Enrolled_Date
STU1003,Ravi Kumar,INVALID,9123456789,Python,True,Madurai,2025-02-19
STU1005,Karthik,INVALID,MISSING,Python,True,MISSING,2025-02-08
STU1007,Suresh T,INVALID,7654321098,Python,False,Trichy,2025-01-14
STU1009,Rajesh Kk,INVALID,8877665544,Python,True,Coimbatore,2025-05-15
STU1012,Meena D,INVALID,MISSING,Machine Learning,True,Salem,2025-02-21
STU1017,Dinesh R,INVALID,8080808080,Data Science,True,Madurai,2025-02-23
STU1019,Bala K,INVALID,7070707070,Machine Learning,False,Salem,2025-06-12
STU1022,Geetha,INVALID,9393939393,Data Science,False,Coimbatore,2025-05-08
STU1025,Senthil K,INVALID,MISSING,Python,False,Trichy,2025-05-15
STU1029,Gopal V,INVALID,9010101010,Python,True,Coimbatore,2025-01-12
STU1035,Karthi P,INVALID,7565656565,Python,True,Coimbatore,2025-02-14
STU1037,Venkat R,INVALID,8787878787,Python,False,Trichy,2025-02-12
STU1040,Dharani S,INVALID,7909090909,Data Science,False,MISSING,2025-04-19
STU1042,Padma V,INVALID,9121212121,Python,True,Coimbatore,2025-03-22
STU1045,Selvam K,INVALID,8343434343,Machine Learning,True,Salem,2025-02-28
STU1049,Suresh B,INVALID,MISSING,Python,False,Madurai,2025-04-20
